ID,fname,DOB,Cage,Condition,Sex,BW,Date_Injection_1,Date_Perfusion,Notes,Staining_Batch,Drug,Chronic,Acute
Co1,20240604_14_30_18_OP_Co1A_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,22,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE
Co2,20240604_14_51_03_OP_Co2B_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,22,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE
Co3,20240604_15_41_20_OP_Co3C_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,18.8,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE
Co4,20240604_16_00_43_OP_Co4D_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,21.5,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE
Co5,20240604_16_48_56_OP_Co5E_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,20.9,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE
Co6,20240604_17_09_47_OP_Co6F_Destripe_DONE,3/24/2024,313952,Acute_Cocaine,M,14.3,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE
A1,20240227_17_25_07_OP_A1E_Destripe_DONE,11/9/2023,287527,Acute_Morphine,F,21,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE
A2,20240227_17_06_12_OP_A2F_Destripe_DONE,11/9/2023,287528,Acute_Morphine,M,27,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE
A3,20240227_18_01_17_OP_A3G_Destripe_DONE,8/14/2023,267319,Acute_Morphine,M,37,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE
A4,20240227_18_21_05_OP_A4H_Destripe_DONE,9/1/2023,277640,Acute_Morphine,M,33,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE
A5,20240403_13_21_45_OP_A5Q_Destripe_DONE,9/1/2023,277640,Acute_Morphine,M,30,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE
A6,20240403_13_40_56_OP_A6R_Destripe_DONE,11/9/2023,287526,Acute_Morphine,M,26.5,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE
A7,20240403_16_05_39_OP_A7S_Destripe_DONE,11/9/2023,287526,Acute_Morphine,M,26,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE
A8,20240403_16_25_18_OP_A8T_Destripe_DONE,11/9/2023,287526,Acute_Morphine,M,25.5,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE
S1,20240227_23_20_32_OP_S1I_Destripe_DONE,11/9/2023,287527,Saline,F,21.6,1/30/2024,2/6/2024,,1,Saline,FALSE,FALSE
S2,20240227_23_00_56_OP_S2J_Destripe_DONE,11/9/2023,287528,Saline,M,27,1/30/2024,2/6/2024,bad perfusion,1,Saline,FALSE,FALSE
S3,20240228_10_52_10_OP_S3L_Destripe_DONE,11/9/2023,287528,Saline,M,27.3,1/30/2024,2/6/2024,,1,Saline,FALSE,FALSE
S4,20240228_11_13_31_OP_S4K_Destripe_DONE,8/14/2023,267319,Saline,M,37,1/30/2024,2/6/2024,,1,Saline,FALSE,FALSE
S5,20240403_10_59_33_OP_S5M_Destripe_DONE,9/1/2023,277640,Saline,M,31,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE
S6,20240403_11_19_31_OP_S6N_Destripe_DONE,9/1/2023,277640,Saline,M,28,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE
S7,20240403_12_02_34_OP_S7O_Destripe_DONE,11/9/2023,287526,Saline,M,26.5,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE
S8,20240403_12_21_49_OP_S8P_Destripe_DONE,11/9/2023,287526,Saline,M,26,1/30/2024,2/6/2024,,2,Saline,FALSE,FALSE
