ID,fname,DOB,Cage,Condition,Sex,BW,Drug1,Drug2,Injection_Day1,Injection_Day2,Date_Perfusion,Notes,Staining_Batch,AB_per_brain
SM1,20240407_18_09_25_OPTRAP_SM1_Destripe_DONE,1/15/2024,284041,Sal-AcM,F,27,Saline,Acute_Morphine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
SM2,20240407_17_38_14_OPTRAP_SM2_Destripe_DONE,1/15/2024,284042,Sal-AcM,F,27,Saline,Acute_Morphine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
SM3,20240408_09_59_24_OPTRAP_SM3_Destripe_DONE,1/15/2024,284043,Sal-AcM,F,27,Saline,Acute_Morphine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
MM1,20240408_10_47_53_OPTRAP_MM1_Destripe_DONE,10/18/2023,272235,AcM-AcM,F,27,Acute_Morphine,Acute_Morphine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
MM2,20240408_12_32_54_OPTRAP_MM2_Destripe_DONE,10/18/2023,284036,AcM-AcM,F,27,Acute_Morphine,Acute_Morphine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
MM3,20240408_11_32_18_OPTRAP_MM3_Destripe_DONE,10/18/2023,284037,AcM-AcM,F,27,Acute_Morphine,Acute_Morphine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
CM1,20240408_15_37_50_OPTRAP_CM1_Destripe_DONE,10/30/2023,284042,AcM-AcC,F,27,Acute_Morphine,Cocaine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
CM2,20240408_16_39_53_OPTRAP_CM2_Destripe_DONE,10/30/2023,284044,AcM-AcC,F,27,Acute_Morphine,Cocaine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
CM3,20240408_17_27_20_OPTRAP_CM3_Destripe_DONE,10/30/2023,284043,AcM-AcC,F,27,Acute_Morphine,Cocaine,2/23/2024,3/1/2024,3/1/2024,,1,1.75
MM4,20240610_16_04_11_OP_TRAP_MM4A_Destripe_DONE,11/1/2023,304015,AcM-AcM,M,32,Acute_Morphine,Acute_Morphine,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MM5,20240610_16_40_59_OP_TRAP_MM5B_Destripe_DONE,11/1/2023,304015,AcM-AcM,M,32,Acute_Morphine,Acute_Morphine,5/3/2024,5/3/2024,5/11/2024,,2,1.75
MM6,20240610_17_51_47_OP_TRAP_MM6C_Destripe_DONE,11/1/2023,304015,AcM-AcM,M,32,Acute_Morphine,Acute_Morphine,5/3/2024,5/3/2024,5/11/2024,,2,1.75
SM4,20240611_10_31_28_OP_TRAP_SM4D_Destripe_DONE,11/1/2023,304015,Sal-AcM,M,32,Saline,Acute_Morphine,5/3/2024,5/3/2024,5/11/2024,,2,1.75
