ID,fname,DOB,Cage,Condition,Sex,BW,Date_Injection_1,Date_Perfusion,Notes,Staining_Batch,Drug,Chronic_flag,Acute_flag,Spontaneous_flag
Co1,20240604_14_30_18_OP_Co1A_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,22,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE,FALSE
Co2,20240604_14_51_03_OP_Co2B_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,22,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE,FALSE
Co3,20240604_15_41_20_OP_Co3C_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,18.8,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE,FALSE
Co4,20240604_16_00_43_OP_Co4D_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,21.5,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE,FALSE
Co5,20240604_16_48_56_OP_Co5E_Destripe_DONE,3/24/2024,313953,Acute_Cocaine,M,20.9,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE,FALSE
Co6,20240604_17_09_47_OP_Co6F_Destripe_DONE,3/24/2024,313952,Acute_Cocaine,M,14.3,5/2/2024,5/10/2024,,3,Cocaine,FALSE,TRUE,FALSE
A1,20240227_17_25_07_OP_A1E_Destripe_DONE,11/9/2023,287527,Acute_Morphine,F,21,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE,FALSE
A2,20240227_17_06_12_OP_A2F_Destripe_DONE,11/9/2023,287528,Acute_Morphine,M,27,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE,FALSE
A3,20240227_18_01_17_OP_A3G_Destripe_DONE,8/14/2023,267319,Acute_Morphine,M,37,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE,FALSE
A4,20240227_18_21_05_OP_A4H_Destripe_DONE,9/1/2023,277640,Acute_Morphine,M,33,1/30/2024,2/6/2024,,1,Morphine,FALSE,TRUE,FALSE
A5,20240403_13_21_45_OP_A5Q_Destripe_DONE,9/1/2023,277640,Acute_Morphine,M,30,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE,FALSE
A6,20240403_13_40_56_OP_A6R_Destripe_DONE,11/9/2023,287526,Acute_Morphine,M,26.5,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE,FALSE
A7,20240403_16_05_39_OP_A7S_Destripe_DONE,11/9/2023,287526,Acute_Morphine,M,26,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE,FALSE
A8,20240403_16_25_18_OP_A8T_Destripe_DONE,11/9/2023,287526,Acute_Morphine,M,25.5,1/30/2024,2/6/2024,,2,Morphine,FALSE,TRUE,FALSE
C1,20240227_14_10_33_OP_C1A_Destripe_DONE,11/9/2023,284025,Chronic_Morphine,F,20,1/30/2024,2/6/2024,,1,Morphine,TRUE,TRUE,FALSE
C2,20240227_14_30_11_OP_C2B_Destripe_DONE,11/9/2023,284025,Chronic_Morphine,F,20,1/30/2024,2/6/2024,,1,Morphine,TRUE,TRUE,FALSE
C3,20240227_15_33_16_OP_C3C_Destripe_DONE,9/1/2023,277641,Chronic_Morphine,M,32,1/30/2024,2/6/2024,,1,Morphine,TRUE,TRUE,FALSE
